epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,705.062,1.0654,0.54904,0.88224,0.98941,0.91597,0.97462,0.66001,1.12728,0.59308,0.87059,0.0015842,0.0015842,0.0015842
44,721.952,0.93463,0.50602,0.85791,0.9646,0.91582,0.96599,0.66224,1.08171,0.57856,0.88952,0.0015743,0.0015743,0.0015743
45,737.809,0.94444,0.50166,0.87261,0.97743,0.92437,0.97691,0.67567,1.1179,0.55469,0.8884,0.0015644,0.0015644,0.0015644
46,752.446,0.90667,0.49752,0.84462,0.94862,0.89076,0.96343,0.62715,1.20349,0.59454,0.91871,0.0015545,0.0015545,0.0015545
47,769.695,1.00417,0.52828,0.86062,0.94118,0.94121,0.97482,0.66039,1.12218,0.58012,0.8886,0.0015446,0.0015446,0.0015446
48,787.77,1.06846,0.54993,0.85852,0.97274,0.89946,0.96747,0.65598,1.13501,0.59949,0.90781,0.0015347,0.0015347,0.0015347
49,803.994,1.00291,0.52581,0.88282,0.95687,0.93207,0.97177,0.65343,1.11148,0.61019,0.91659,0.0015248,0.0015248,0.0015248
50,820.898,1.01526,0.51164,0.8744,0.85984,0.79832,0.88676,0.59688,1.23796,0.724,0.94688,0.0015149,0.0015149,0.0015149
51,838.076,0.98285,0.52126,0.88051,0.96281,0.91597,0.95692,0.63948,1.1718,0.59099,0.90118,0.001505,0.001505,0.001505
52,852.933,1.04246,0.51964,0.89339,0.98179,0.96639,0.97789,0.65549,1.14311,0.58391,0.89498,0.0014951,0.0014951,0.0014951
53,866.948,0.95827,0.50351,0.87239,0.98261,0.94972,0.98099,0.69256,1.0287,0.53781,0.86594,0.0014852,0.0014852,0.0014852
54,881.592,1.01242,0.5317,0.8754,0.9733,0.91918,0.9752,0.65491,1.1355,0.55612,0.88983,0.0014753,0.0014753,0.0014753
55,900.113,1.11386,0.58527,0.86907,0.98275,0.95771,0.97024,0.67768,1.09364,0.56289,0.89089,0.0014654,0.0014654,0.0014654
56,916.112,0.94266,0.51487,0.86179,0.97276,0.93277,0.97815,0.66042,1.10209,0.58916,0.90381,0.0014555,0.0014555,0.0014555
57,932.789,0.89738,0.48534,0.84592,0.94744,0.90885,0.94152,0.6336,1.15467,0.64462,0.92669,0.0014456,0.0014456,0.0014456
58,950.227,0.95013,0.48111,0.8556,0.98377,0.96639,0.98261,0.69728,1.064,0.48817,0.88596,0.0014357,0.0014357,0.0014357
59,966.483,0.88803,0.47609,0.86028,0.99129,0.95689,0.97933,0.70368,1.02283,0.4898,0.87549,0.0014258,0.0014258,0.0014258
60,982.326,0.88727,0.44882,0.82562,0.95774,0.95214,0.96644,0.65321,1.13877,0.5559,0.92817,0.0014159,0.0014159,0.0014159
61,999.443,0.93963,0.48934,0.85221,0.99136,0.96391,0.97507,0.69849,1.05217,0.52097,0.88137,0.001406,0.001406,0.001406
62,1016.38,0.94245,0.46425,0.86621,0.9503,0.96639,0.97556,0.6824,1.0793,0.53465,0.87011,0.0013961,0.0013961,0.0013961
63,1034.04,0.93127,0.48309,0.85412,0.9769,0.92437,0.97445,0.69249,1.03181,0.54294,0.89487,0.0013862,0.0013862,0.0013862
64,1048.73,0.89299,0.46332,0.8573,0.98271,0.9552,0.97623,0.69026,1.04505,0.48745,0.87629,0.0013763,0.0013763,0.0013763
65,1062.71,0.88665,0.4672,0.85322,0.98844,0.93277,0.97198,0.69249,1.07377,0.50263,0.89544,0.0013664,0.0013664,0.0013664
66,1078.41,0.93344,0.47005,0.85492,0.97598,0.94118,0.97324,0.68511,1.09218,0.49801,0.90806,0.0013565,0.0013565,0.0013565
67,1092.08,0.91421,0.46999,0.86433,0.97427,0.95449,0.96885,0.68526,1.05306,0.51226,0.8903,0.0013466,0.0013466,0.0013466
68,1106.09,0.93805,0.47226,0.85799,0.95748,0.94624,0.9744,0.68595,1.11275,0.52243,0.90447,0.0013367,0.0013367,0.0013367
69,1123.93,0.86311,0.44604,0.83841,0.97387,0.93973,0.95582,0.65616,1.13901,0.54169,0.91837,0.0013268,0.0013268,0.0013268
70,1140.91,0.90977,0.46202,0.85214,0.94954,0.96639,0.97007,0.6996,1.03866,0.51741,0.90167,0.0013169,0.0013169,0.0013169
71,1157.97,0.89605,0.48994,0.84167,0.98833,0.92437,0.9747,0.69473,1.04537,0.5171,0.8919,0.001307,0.001307,0.001307
72,1174.87,0.91882,0.47351,0.85202,0.97708,0.93277,0.96268,0.68794,1.03462,0.54066,0.87097,0.0012971,0.0012971,0.0012971
73,1190.81,0.88959,0.47151,0.86208,0.96497,0.92585,0.96045,0.66474,1.09654,0.54665,0.87208,0.0012872,0.0012872,0.0012872
74,1207.42,0.87602,0.45341,0.84944,0.96572,0.95798,0.97374,0.71734,1.00589,0.51317,0.8492,0.0012773,0.0012773,0.0012773
75,1223.77,0.93726,0.47014,0.84877,0.99129,0.95593,0.97587,0.68772,1.06232,0.50978,0.86902,0.0012674,0.0012674,0.0012674
76,1239.6,0.89834,0.46505,0.85278,0.98498,0.93277,0.96662,0.70379,1.04071,0.50639,0.8894,0.0012575,0.0012575,0.0012575
77,1255.53,0.94841,0.51368,0.88431,0.97352,0.93277,0.979,0.69241,1.06078,0.50561,0.88171,0.0012476,0.0012476,0.0012476
78,1272.56,0.85799,0.45239,0.86049,0.96589,0.94958,0.97855,0.69482,1.04239,0.53142,0.85579,0.0012377,0.0012377,0.0012377
79,1288.61,0.85033,0.44114,0.8411,0.98305,0.97479,0.98099,0.71324,0.97759,0.51584,0.84093,0.0012278,0.0012278,0.0012278
80,1305.13,0.83894,0.4336,0.86713,0.95787,0.95522,0.97216,0.70202,1.03613,0.49177,0.87158,0.0012179,0.0012179,0.0012179
81,1320.95,0.8787,0.45417,0.84008,0.96324,0.94958,0.97499,0.71433,0.98757,0.51625,0.84684,0.001208,0.001208,0.001208
82,1337.07,0.91926,0.44593,0.86113,0.95059,0.94118,0.95846,0.66954,1.09919,0.52322,0.91329,0.0011981,0.0011981,0.0011981
83,1350.66,0.86925,0.43326,0.84136,0.98191,0.94958,0.96827,0.68382,1.03355,0.50459,0.87346,0.0011882,0.0011882,0.0011882
84,1363.37,0.909,0.47955,0.84643,0.97426,0.95408,0.97472,0.71424,1.02488,0.53177,0.88448,0.0011783,0.0011783,0.0011783
85,1376.99,0.83656,0.43781,0.83883,0.95761,0.94958,0.97713,0.70567,1.03288,0.48912,0.86347,0.0011684,0.0011684,0.0011684
86,1393.03,0.85231,0.44991,0.8379,0.98625,0.94958,0.98165,0.70184,1.06474,0.50218,0.907,0.0011585,0.0011585,0.0011585
87,1409.59,0.894,0.45822,0.8533,0.98253,0.94499,0.97475,0.66825,1.14401,0.51276,0.89113,0.0011486,0.0011486,0.0011486
88,1426.36,0.8764,0.42959,0.83868,0.99132,0.95943,0.98399,0.73157,1.00107,0.46523,0.88678,0.0011387,0.0011387,0.0011387
89,1440.05,0.87613,0.45434,0.8366,0.98298,0.97046,0.98586,0.74296,0.975,0.46583,0.8855,0.0011288,0.0011288,0.0011288
90,1452.72,0.85634,0.43231,0.84512,0.95744,0.9452,0.98037,0.69711,1.05496,0.51417,0.86727,0.0011189,0.0011189,0.0011189
